iter	Passed	Remaining
0	57	28585
1	58	14636
2	60	10022
3	62	7761
4	64	6350
5	65	5399
6	67	4727
7	68	4227
8	70	3838
9	71	3505
10	72	3244
11	74	3027
12	75	2841
13	77	2697
14	79	2559
15	80	2440
16	82	2332
17	83	2238
18	85	2160
19	86	2081
20	88	2009
21	89	1945
22	91	1887
23	92	1833
24	93	1785
25	95	1740
26	96	1698
27	98	1660
28	100	1624
29	101	1589
30	102	1556
31	104	1526
32	105	1499
33	107	1473
34	108	1447
35	110	1425
36	112	1403
37	113	1381
38	115	1361
39	116	1342
40	118	1324
41	119	1307
42	121	1289
43	124	1287
44	125	1271
45	128	1264
46	129	1249
47	131	1235
48	132	1221
49	134	1207
50	136	1198
51	137	1185
52	139	1172
53	140	1160
54	142	1148
55	143	1140
56	145	1129
57	146	1119
58	148	1109
59	149	1099
60	152	1096
61	154	1088
62	155	1079
63	157	1069
64	158	1060
65	160	1054
66	161	1046
67	163	1038
68	165	1030
69	166	1022
70	167	1012
71	169	1008
72	171	1002
73	172	995
74	174	988
75	176	984
76	178	980
77	180	974
78	182	972
79	184	966
80	185	960
81	187	954
82	189	949
83	190	943
84	192	938
85	194	936
86	196	933
87	198	930
88	200	925
89	202	924
90	204	918
91	205	913
92	207	909
93	209	906
94	212	904
95	213	899
96	215	895
97	217	892
98	219	889
99	220	883
100	222	878
101	224	874
102	226	871
103	227	867
104	229	862
105	230	858
106	232	855
107	235	853
108	236	848
109	238	843
110	239	839
111	241	836
112	243	832
113	244	828
114	246	823
115	247	819
116	249	816
117	251	813
118	252	809
119	254	805
120	255	801
121	257	798
122	259	794
123	260	790
124	262	786
125	263	782
126	265	779
127	267	776
128	269	774
129	270	770
130	272	766
131	273	762
132	275	759
133	277	758
134	279	754
135	281	754
136	288	764
137	294	772
138	296	770
139	300	773
140	302	771
141	305	770
142	310	775
143	312	771
144	313	768
145	315	764
146	317	761
147	318	758
148	320	754
149	321	750
150	323	747
151	324	744
152	326	740
153	328	737
154	329	733
155	331	731
156	332	727
157	334	723
158	335	720
159	337	717
160	339	714
161	340	711
162	342	708
163	344	704
164	345	701
165	347	699
166	349	695
167	350	692
168	352	689
169	353	686
170	355	683
171	356	680
172	358	677
173	359	673
174	361	670
175	362	667
176	364	665
177	366	662
178	367	659
179	369	656
180	370	653
181	372	650
182	374	647
183	375	645
184	377	642
185	378	638
186	380	636
187	382	633
188	384	631
189	385	628
190	386	625
191	388	623
192	390	621
193	391	618
194	393	615
195	394	612
196	396	610
197	398	607
198	399	604
199	401	602
200	403	599
201	405	598
202	407	596
203	409	593
204	410	591
205	412	588
206	414	586
207	415	583
208	417	581
209	418	578
210	420	576
211	423	574
212	424	572
213	426	569
214	427	567
215	429	565
216	431	562
217	432	559
218	434	557
219	436	556
220	438	554
221	440	551
222	442	549
223	443	546
224	446	545
225	447	542
226	449	540
227	450	537
228	452	535
229	454	533
230	455	530
231	457	528
232	459	525
233	460	523
234	462	521
235	463	519
236	465	516
237	466	514
238	468	511
239	469	509
240	471	506
241	473	504
242	475	502
243	477	501
244	479	499
245	481	496
246	482	494
247	484	491
248	486	489
249	487	487
250	489	485
251	491	483
252	492	480
253	494	479
254	497	477
255	498	475
256	499	472
257	501	470
258	503	468
259	504	465
260	506	463
261	507	461
262	509	458
263	510	456
264	512	454
265	513	451
266	515	449
267	516	447
268	519	445
269	520	443
270	522	441
271	523	439
272	525	436
273	527	434
274	528	432
275	530	430
276	532	428
277	534	426
278	536	424
279	537	422
280	539	420
281	541	418
282	542	416
283	544	414
284	546	412
285	547	409
286	549	407
287	550	405
288	552	403
289	553	401
290	555	398
291	556	396
292	558	394
293	560	392
294	561	390
295	563	388
296	564	385
297	566	383
298	567	381
299	569	379
300	571	377
301	572	375
302	574	373
303	575	371
304	577	369
305	579	367
306	581	365
307	582	363
308	584	361
309	586	359
310	587	357
311	588	354
312	591	353
313	593	351
314	594	349
315	596	347
316	598	345
317	599	343
318	601	341
319	603	339
320	604	337
321	606	335
322	607	332
323	609	330
324	610	328
325	612	326
326	613	324
327	615	322
328	617	320
329	618	318
330	620	316
331	621	314
332	623	312
333	625	310
334	626	308
335	628	306
336	630	304
